gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
709,The Princess and Curdie,"MacDonald, George",127,en,Children's Literature/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
765,The Moon Pool,"Merritt, Abraham",403,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
768,Wuthering Heights,"Brontë, Emily",405,en,Best Books Ever Listings/Gothic Fiction/Movie Books/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
770,"The Story of the Treasure Seekers
Being the Adventures of the Bastable Children in Search of a Fortune","Nesbit, E. (Edith)",407,en,Children's Literature/Children's Fiction/Category: Children & Young Adult Reading/Category: Adventure/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
778,Five Children and It,"Nesbit, E. (Edith)",407,en,Children's Literature/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
792,"Wieland; Or, The Transformation: An American Tale","Brown, Charles Brockden",416,en,Best Books Ever Listings/Gothic Fiction/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
794,The Wouldbegoods: Being the Further Adventures of the Treasure Seekers,"Nesbit, E. (Edith)",407,en,Children's Literature/Children's Fiction/Category: Children & Young Adult Reading/Category: Adventure/Category: British Literature,Public domain in the USA.,TRUE
807,Hunted Down: The Detective Stories of Charles Dickens,"Dickens, Charles",37,en,"Detective Fiction/Category: Short Stories/Category: Crime, Thrillers and Mystery/Category: British Literature",Public domain in the USA.,TRUE
836,The Phoenix and the Carpet,"Nesbit, E. (Edith)",407,en,Children's Literature/Children's Fiction/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
837,The Story of the Amulet,"Nesbit, E. (Edith)",407,en,Children's Literature/Children's Fiction/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: British Literature,Public domain in the USA.,TRUE
840,Lorna Doone: A Romance of Exmoor,"Blackmore, R. D. (Richard Doddridge)",439,en,Historical Fiction/Category: Historical Novels/Category: Romance/Category: British Literature,Public domain in the USA.,TRUE
848,The Black Arrow: A Tale of the Two Roses,"Stevenson, Robert Louis",35,en,Children's Literature/Adventure/Historical Fiction/Movie Books/Category: Historical Novels/Category: Adventure/Category: British Literature,Public domain in the USA.,TRUE
863,The Mysterious Affair at Styles,"Christie, Agatha",451,en,"Detective Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
864,The Master of Ballantrae: A Winter's Tale,"Stevenson, Robert Louis",35,en,Historical Fiction/Category: Historical Novels/Category: Adventure/Category: British Literature,Public domain in the USA.,TRUE
917,Barnaby Rudge: A Tale of the Riots of 'Eighty,"Dickens, Charles",37,en,Historical Fiction/Category: Historical Novels/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
940,The Last of the Mohicans; A narrative of 1757,"Cooper, James Fenimore",483,en,Historical Fiction/Category: Historical Novels/Category: Adventure/Category: American Literature,Public domain in the USA.,TRUE
949,"Tom Swift and His Submarine Boat; Or, Under the Ocean for Sunken Treasure","Appleton, Victor",267,en,Children's Book Series/Category: Children & Young Adult Reading/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
950,"Tom Swift and His Electric Runabout; Or, The Speediest Car on the Road","Appleton, Victor",267,en,Children's Book Series/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
953,"Tom Swift and His Big Tunnel; Or, The Hidden City of the Andes","Appleton, Victor",267,en,Children's Book Series/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
954,"Tom Swift and His War Tank; Or, Doing His Bit for Uncle Sam","Appleton, Victor",267,en,Children's Book Series/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
955,The Patchwork Girl of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
956,Tik-Tok of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
957,The Scarecrow of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels,Public domain in the USA.,TRUE
960,"The Tin Woodman of Oz
A Faithful Story of the Astonishing Adventure Undertaken by the Tin Woodman, Assisted by Woot the Wanderer, the Scarecrow of Oz, and Polychrome, the Rainbow's Daughter","Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
961,"Glinda of Oz
In Which Are Related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in Their Hazardous Journey to the Home of the Flatheads, and to the Magic Isle of the Skeezers, and How They Were Rescued from Dire Peril by the Sorcery of Glinda the Good","Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
965,The black tulip,"Dumas, Alexandre",492,en,Historical Fiction/Category: Historical Novels/Category: Novels/Category: French Literature,Public domain in the USA.,TRUE
965,The black tulip,"Maquet, Auguste",3930,en,Historical Fiction/Category: Historical Novels/Category: Novels/Category: French Literature,Public domain in the USA.,TRUE
966,Maid Marian,"Peacock, Thomas Love",493,en,Historical Fiction/Category: Historical Novels/Category: Romance/Category: Adventure/Category: British Literature,Public domain in the USA.,TRUE
974,The Secret Agent: A Simple Tale,"Conrad, Joseph",125,en,"Mystery Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,507,en,Italy/Category: Poetry/Category: Classics of Literature,Public domain in the USA.,TRUE
1154,The Voyages of Doctor Dolittle,"Lofting, Hugh",269,en,Children's Literature/Category: Children & Young Adult Reading/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
1155,The Secret Adversary,"Christie, Agatha",451,en,"Detective Fiction/Category: Crime, Thrillers and Mystery/Category: Adventure/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
1159,Fire-Tongue,"Rohmer, Sax",110,en,"Crime Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
